date,country,related,last,previous,unit
Feb 2024,Afghanistan,Consumer Price Index CPI,131.1,129.6,points
Feb 2024,Afghanistan,Core Inflation Rate,-4.4,-4.8,percent
Feb 2024,Afghanistan,CPI Housing Utilities,102.7,102.1,points
Feb 2024,Afghanistan,CPI Transportation,132.3,133.6,points
Feb 2024,Afghanistan,Food Inflation,-14.4,-15.1,percent
Feb 2024,Afghanistan,Inflation Rate,-9.7,-10.2,percent
Feb 2024,Afghanistan,Inflation Rate MoM,1.2,-0.8,percent
Mar 2024,Ghana,Consumer Price Index CPI,209.54,207.79,points
Mar 2024,Ghana,CPI Housing Utilities,244.1,243.2,points
Mar 2024,Ghana,CPI Transportation,197.3,195.22,points
Mar 2024,Ghana,Inflation Rate YoY,25.8,23.2,percent
Mar 2024,Ghana,Inflation Rate MoM,0.85,1.58,percent
Mar 2024,Germany,Baden Wuerttemberg CPI YoY,2.3,2.7,percent
Mar 2024,Germany,Bavaria CPI MoM,2.3,2.6,percent
Mar 2024,Germany,Brandenburg CPI YoY,2.8,3.5,percent
Mar 2024,Germany,Energy Inflation,-2.7,-2.37,percent
Mar 2024,Germany,Food Inflation,0.15,1.62,percent
Mar 2024,Germany,Hesse CPI YoY,1.6,2.1,percent
Mar 2024,Germany,North Rhine Westphalia CPI YoY,2.3,2.6,percent
Mar 2024,Germany,Saxony CPI YoY,2.5,3.0,percent
Mar 2024,Germany,Services Inflation,3.68,3.43,percent
Mar 2024,Germany,CPI,118.6,118.1,points
Mar 2024,Germany,Core Consumer Prices,114.3,113.5,points
Mar 2024,Germany,Core Inflation Rate,3.3,3.37,percent
Mar 2024,Germany,CPI Housing Utilities,115.3,115.3,points
Mar 2024,Germany,CPI Transportation,125.1,123.7,points
Feb 2024,Germany,Export Prices,113.8,113.6,points
Feb 2024,Germany,Import Prices,111.5,111.7,points
Mar 2024,Germany,Inflation Rate YoY,2.2,2.5,percent
Mar 2024,Germany,Inflation Rate MoM,0.4,0.4,percent
Mar 2024,Germany,PPI MoM,0.2,-0.4,percent
Mar 2024,Germany,Producer Prices,127.3,127.1,points
Mar 2024,Germany,PPI YoY,-2.9,-4.1,percent
Mar 2024,Germany,Wholesale Prices,131.2,130.9,points
Mar 2024,Georgia,Consumer Price Index CPI,178.2,178.1,points
Mar 2024,Georgia,Core Inflation Rate,2.4,2.6,percent
Mar 2024,Georgia,CPI Housing Utilities,99.81,99.48,points
Mar 2024,Georgia,CPI Transportation,100.8,98.96,points
Mar 2024,Georgia,Export Prices,103.1,102.5,points
Mar 2024,Georgia,Food Inflation,-3.4,-3.5,percent
